Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00057624, 0.000418703, 0.000153682, 3.8847e-05, 5754, 1622, 1881
0.000324558, 0.000199229, 0.000124433, 3.5571e-05, 5650, 1548, 2178
0.00041135, 0.000247721, 0.000162352, 3.7117e-05, 5286, 1439, 2277
0.000273562, 0.000144428, 0.000128305, 4.275e-05, 5405, 1410, 2079
0.000308483, 0.000166928, 0.000140514, 3.5928e-05, 5440, 1364, 1914
0.000305463, 0.00019603, 0.000107733, 2.8821e-05, 5302, 1276, 1386
0.00038113, 0.000219803, 0.000159684, 3.8636e-05, 5232, 1228, 1122
0.000252335, 0.000154865, 9.6816e-05, 2.9909e-05, 5197, 1193, 1683
0.00028388, 0.000168221, 0.000114666, 3.4188e-05, 4988, 1161, 2079
0.00023197, 0.000137785, 9.3158e-05, 3.0401e-05, 5032, 1208, 2079
0.000341245, 0.000159688, 0.00018059, 6.4736e-05, 5034, 1226, 2376
0.000214379, 0.00011809, 9.5425e-05, 2.1655e-05, 5154, 1201, 1386
0.000241977, 0.000141268, 9.9462e-05, 3.0666e-05, 5167, 1286, 1683
0.000319651, 0.000189673, 0.000129029, 3.431e-05, 5462, 1336, 1749
0.000296448, 0.000181412, 0.00011462, 2.5587e-05, 5330, 1316, 1254
0.000310626, 0.000194489, 0.000115418, 2.7008e-05, 5460, 1332, 1353
0.000225356, 0.000148218, 7.5965e-05, 1.767e-05, 5401, 1326, 1023
0.000354837, 0.000143135, 0.000210205, 0.000101238, 5288, 1254, 1353
0.000275138, 0.000162036, 0.000112428, 2.725e-05, 4972, 1268, 1353
0.000219496, 0.000143382, 7.5334e-05, 1.9777e-05, 5462, 1294, 1056
0.000291787, 0.000187936, 0.000102763, 1.4381e-05, 5211, 1260, 594
0.000208752, 0.000147625, 6.0012e-05, 1.0404e-05, 4994, 1225, 528
0.000297241, 0.000159808, 0.000135906, 3.6784e-05, 5074, 1331, 1617
0.000494129, 0.000249293, 0.000244056, 8.5081e-05, 5296, 1900, 7755
0.00037956, 0.000161741, 0.000216656, 9.2443e-05, 5027, 1498, 5049
0.000422628, 0.000171609, 0.00024911, 6.7017e-05, 4606, 1412, 3003
0.000280348, 0.000162208, 0.000117272, 3.4449e-05, 4655, 1380, 2145
0.000337685, 0.000178633, 0.000157956, 4.136e-05, 5618, 1956, 2772
0.000577745, 0.000329943, 0.000246463, 6.2835e-05, 5197, 1958, 2409
0.000531356, 0.000338084, 0.00019245, 4.4486e-05, 5519, 1790, 1782
0.000400153, 0.000278234, 0.000120521, 2.234e-05, 5767, 1528, 957
0.000190186, 0.000126725, 6.2592e-05, 1.3064e-05, 5103, 1390, 759
0.000373071, 0.000210148, 0.000162451, 4.1742e-05, 5132, 1522, 1947
0.000358314, 0.000211146, 0.000145968, 4.4761e-05, 5685, 1704, 2310
0.000366579, 0.000234175, 0.000130921, 2.9761e-05, 5247, 1381, 1386
0.000265002, 0.00014912, 0.000114487, 2.8895e-05, 5558, 1530, 1386
0.000233824, 0.000141993, 9.107e-05, 2.5935e-05, 5771, 1551, 1947
0.000347519, 0.000213573, 0.000132738, 4.251e-05, 5224, 1552, 2640
0.000305489, 0.000195501, 0.000108985, 2.6944e-05, 5694, 1679, 1551
0.000580982, 0.000330023, 0.000250123, 5.4506e-05, 6116, 2212, 2574
0.000347936, 0.000186263, 0.000160529, 3.5405e-05, 6119, 2154, 2211
0.00061978, 0.000414114, 0.00020434, 4.0966e-05, 5946, 2174, 1980
0.000400794, 0.000245655, 0.00015441, 4.3773e-05, 6181, 2379, 2673
0.000292197, 0.00017311, 0.00011797, 3.2421e-05, 4964, 1742, 2046
0.000267494, 0.000165315, 0.000101578, 2.4974e-05, 5468, 1863, 1584
0.000307939, 0.000181925, 0.000125394, 2.8694e-05, 6233, 2046, 2244
0.000322398, 0.000179283, 0.000142213, 2.9838e-05, 5723, 1902, 1584
0.000267336, 0.000173617, 9.2504e-05, 1.968e-05, 6110, 1892, 1287
0.000494935, 0.000211872, 0.000281566, 3.9013e-05, 6428, 1912, 990
0.000282705, 0.000185821, 9.5946e-05, 2.3985e-05, 5833, 1760, 1716
0.000327498, 0.000219931, 0.000106612, 1.8823e-05, 6367, 2207, 1089
0.000382921, 0.000200773, 0.000181304, 4.2562e-05, 5689, 2294, 2706
0.000356784, 0.000193909, 0.000162128, 4.8178e-05, 6086, 2432, 3333
0.000579665, 0.000245259, 0.000333286, 0.000101178, 5554, 2308, 3696
0.000550659, 0.0003206, 0.000228828, 7.221e-05, 5940, 2550, 4257
0.000819192, 0.000328353, 0.00048933, 0.000146255, 6063, 2708, 5049
0.000702008, 0.000261927, 0.000432629, 0.000148177, 5889, 2322, 3993
0.00042242, 0.00021435, 0.000207044, 5.5365e-05, 6679, 2533, 3069
0.000342852, 0.000190541, 0.000151625, 3.6714e-05, 6456, 2270, 2508
0.000353244, 0.000223578, 0.000128409, 3.1038e-05, 6616, 2248, 2079
0.000391337, 0.000215301, 0.000175274, 4.7223e-05, 6779, 2373, 2904
0.000503883, 0.000299694, 0.000203401, 3.737e-05, 6833, 2395, 1947
0.000706309, 0.000347642, 0.000355824, 7.197e-05, 6594, 2311, 1749
0.000931561, 0.000611749, 0.000318266, 8.7073e-05, 6823, 2312, 2673
0.000364212, 0.000221686, 0.00014167, 3.5822e-05, 6899, 2352, 2277
0.000505618, 0.000342898, 0.000161525, 3.3636e-05, 6387, 2371, 2244
0.000639846, 0.00035647, 0.000282259, 5.2387e-05, 7103, 2702, 2244
0.00046658, 0.000272119, 0.000193665, 4.9097e-05, 7110, 2728, 2970
0.000539793, 0.000296459, 0.000241896, 5.4647e-05, 6721, 2583, 2574
0.000382086, 0.000230037, 0.000151205, 4.0251e-05, 6477, 2553, 2640
0.000590564, 0.000326794, 0.000262317, 7.9096e-05, 6662, 2621, 2673
0.000450478, 0.000257808, 0.000191757, 5.3449e-05, 6567, 2645, 3234
0.000560263, 0.000340737, 0.000218284, 5.491e-05, 6878, 2910, 3729
0.000498155, 0.00024802, 0.00024913, 8.36e-05, 6354, 2700, 4059
0.000810109, 0.000475551, 0.000330202, 0.000110349, 6044, 2615, 5148
0.000556913, 0.000335493, 0.000220736, 6.5846e-05, 6576, 2764, 4356
0.000465355, 0.00025204, 0.000212519, 5.7916e-05, 6848, 2862, 3960
0.000640359, 0.000393519, 0.000244798, 6.4173e-05, 6635, 2804, 3135
0.000518886, 0.000295415, 0.000222303, 5.943e-05, 6911, 2932, 3366
0.00083577, 0.000665138, 0.000168476, 4.0082e-05, 6866, 2897, 2343
0.000685142, 0.000398727, 0.000283296, 7.2511e-05, 6111, 2632, 1320
0.000480277, 0.000251183, 0.000227886, 4.2982e-05, 6826, 2763, 2013
0.000553821, 0.000340585, 0.000211773, 3.6388e-05, 6918, 2796, 1749
0.000427907, 0.000245459, 0.000181515, 4.3324e-05, 6605, 2633, 1518
0.00050541, 0.000353656, 0.000148604, 2.3059e-05, 6897, 2757, 1155
0.000373061, 0.000257072, 0.000115074, 2.1288e-05, 6856, 2740, 1485
0.000637333, 0.000423629, 0.000212022, 3.8377e-05, 6153, 2529, 1716
0.000366181, 0.000233693, 0.00013169, 3.0079e-05, 6834, 2799, 1881
0.000433486, 0.000292593, 0.000138776, 3.1153e-05, 6847, 2825, 1848
