mapping(ms), replan(ms), sfc(ms), mpc(ms), df(ms), 
0, 0, 0, 0.264315, 0.000733, 
0, 0, 0, 0.267915, 0.000661, 
0, 0, 0, 0.365398, 0.000949, 
0, 0, 0, 0.299941, 0.000597, 
0, 0, 0, 0.286846, 0.000703, 
0.088584, 0, 0, 0.266668, 0.000874, 
0, 0, 0, 0.449525, 0.000996, 
0, 0, 0, 0.270266, 0.00098, 
0, 0, 0, 0.279809, 0.000902, 
0, 0, 0, 0.438181, 0.001161, 
0.025235, 0, 0, 0.267421, 0.000875, 
0, 0, 0, 0.406817, 0.000891, 
0, 0, 0, 0.389573, 0.000919, 
0, 0, 0, 0.431634, 0.001066, 
0, 0, 0, 0.430896, 0.001305, 
0.27564, 0, 0, 0.42324, 0.001132, 
0, 0, 0, 0.401636, 0.001165, 
0, 0, 0, 0.448213, 0.001259, 
0, 0, 0, 0.406646, 0.000999, 
0, 0, 0, 0.279735, 0.000939, 
0.233475, 0, 0, 0.394773, 0.000884, 
0, 0, 0, 0.280333, 0.000589, 
0, 0, 0, 0.406238, 0.000845, 
0, 0, 0, 0.290989, 0.000872, 
0, 0, 0, 0.425817, 0.000977, 
0.02567, 0, 0, 0.278496, 0.00071, 
0, 0, 0, 0.41664, 0.000875, 
0, 0, 0, 0.279119, 0.000786, 
0, 0, 0, 0.345151, 0.000518, 
0, 0, 0, 0.274789, 0.000658, 
0.10279, 0, 0, 0.317114, 0.000885, 
0, 0, 0, 0.276101, 0.000561, 
0, 0, 0, 0.31158, 0.000645, 
0, 0, 0, 0.431802, 0.000862, 
0.190142, 0, 0, 0.288456, 0.000769, 
0, 0, 0, 0.270173, 0.000615, 
0, 0, 0, 0.273054, 0.000711, 
0, 0, 0, 0.475849, 0.000973, 
0, 0, 0, 0.419304, 0.000916, 
0, 0, 0, 0.296831, 0.00107, 
0.055781, 0, 0, 0.276976, 0.00077, 
0, 0, 0, 0.230971, 0.000327, 
0, 0, 0, 0.222362, 0.000251, 
0, 0, 0, 0.281649, 0.000583, 
0, 0, 0, 0.313918, 0.000982, 
0.050952, 0, 0, 0.28346, 0.000799, 
0, 0, 0, 0.429141, 0.000987, 
0, 0, 0, 0.277285, 0.000658, 
0, 0, 0, 0.264074, 0.000568, 
0, 0, 0, 0.406671, 0.000976, 
0.175377, 0, 0, 0.276189, 0.00097, 
0, 0, 0, 0.263474, 0.000521, 
0, 0, 0, 0.260498, 0.00066, 
0, 0, 0, 0.277265, 0.000832, 
0, 0, 0, 0.43225, 0.001144, 
0.079909, 0, 0, 0.268663, 0.000813, 
0, 0, 0, 0.431559, 0.000949, 
0, 0, 0, 0.43092, 0.001019, 
0, 0, 0, 0.408082, 0.000955, 
0.033826, 0, 0, 0.436099, 0.001354, 
0, 0, 0, 0.439831, 0.000924, 
0, 0, 0, 0.41986, 0.000876, 
0, 0, 0, 0.392615, 0.00093, 
0, 0, 0, 0.41229, 0.001044, 
0, 0, 0, 0.417237, 0.001253, 
0.244934, 0, 0, 0.416899, 0.001112, 
0, 0, 0, 0.391098, 0.000958, 
0, 0, 0, 0.381219, 0.000856, 
0, 0, 0, 0.393013, 0.00105, 
0.244696, 0, 0, 0.392608, 0.001223, 
0, 0, 0, 0.395094, 0.00104, 
0, 0, 0, 0.262042, 0.00075, 
0, 0, 0, 0.291858, 0.000858, 
0, 0, 0, 0.245768, 0.000652, 
0, 0, 0, 0.236994, 0.000668, 
0.03554, 0, 0, 0.305958, 0.000856, 
0, 0, 0, 0.289731, 0.000714, 
0, 0, 0, 0.315021, 0.000644, 
0, 0, 0, 0.238306, 0.000976, 
0.107562, 0, 0, 0.311032, 0.001251, 
0, 0, 0, 0.208407, 0.000779, 
0, 0, 0, 0.267759, 0.001713, 
0, 0, 0, 0.313862, 0.000993, 
0, 0, 0, 0.313844, 0.000943, 
0, 0, 0, 0.270733, 0.001237, 
0.262207, 0, 0, 0.324949, 0.000981, 
0, 0, 0, 0.307094, 0.00102, 
0, 0, 0, 0.298003, 0.000975, 
0, 0, 0, 0.302472, 0.001013, 
0.048213, 0, 0, 0.218625, 0.000772, 
0, 0, 0, 0.205423, 0.000688, 
0, 0, 0, 0.176101, 0.000221, 
0, 0, 0, 0.154283, 0.000167, 
0, 0, 0, 0.327769, 0.000932, 
0, 0, 0, 0.344992, 0.001027, 
0.076776, 0, 0, 0.335719, 0.001067, 
0, 0, 0, 0.209823, 0.000919, 
0, 0, 0, 0.191945, 0.000652, 
0, 0, 0, 0.309508, 0.001092, 
0.251372, 0, 0, 0.30572, 0.000991, 
0, 0, 0, 0.298974, 0.001525, 
0, 0, 0, 0.292227, 0.000885, 
0, 0, 0, 0.295549, 0.001083, 
0, 0, 0, 0.300555, 0.001088, 
0, 0, 0, 0.219065, 0.000736, 
0.128916, 0, 0, 0.301771, 0.001022, 
0, 0, 0, 0.204906, 0.00076, 
0, 0, 0, 0.208217, 0.000552, 
0, 0, 0, 0.216746, 0.000576, 
0.041803, 0, 0, 0.207426, 0.000814, 
0, 0, 0, 0.222416, 0.000767, 
0, 0, 0, 0.23019, 0.000496, 
0, 0, 0, 0.217485, 0.000473, 
0, 0, 0, 0.229004, 0.000676, 
0, 0, 0, 0.328878, 0.000998, 
0.156907, 0, 0, 0.208807, 0.000721, 
0, 0, 0, 0.30395, 0.000926, 
0, 0, 0, 0.213646, 0.000682, 
0, 0, 0, 0.348533, 0.001238, 
0.140404, 0, 0, 0.217396, 0.001062, 
0, 0, 0, 0.320636, 0.00094, 
0, 0, 0, 0.292413, 0.000814, 
0, 0, 0, 0.313773, 0.001025, 
0, 0, 0, 0.292665, 0.000935, 
0.037068, 0, 0, 0.351745, 0.001029, 
0, 0, 0, 0.20968, 0.000891, 
0, 0, 0, 0.221527, 0.000608, 
0, 0, 0, 0.21441, 0.000671, 
0, 0, 0, 0.208992, 0.000644, 
0.089533, 0, 0, 0.21694, 0.000818, 
0, 0, 0, 0.220641, 0.000707, 
0, 0, 0, 0.200001, 0.000516, 
0, 0, 0, 0.199919, 0.000649, 
0, 0, 0, 0.213289, 0.000921, 
0.148925, 0, 0, 0.211875, 0.000737, 
0, 0, 0, 0.225669, 0.000583, 
0, 0, 0, 0.208557, 0.00044, 
0, 0, 0, 0.196091, 0.000749, 
0, 0, 0, 0.223459, 0.000587, 
0.071186, 0, 0, 0.248738, 0.001001, 
0, 0, 0, 0.242293, 0.000728, 
0, 0, 0, 0.183801, 0.000327, 
0, 0, 0, 0.17236, 0.000315, 
0, 0, 0, 0.229963, 0.000516, 
0, 0, 0, 0.205492, 0.000746, 
0.046988, 0, 0, 0.217784, 0.000766, 
0, 0, 0, 0.204015, 0.000715, 
0, 0, 0, 0.224703, 0.000978, 
0, 0, 0, 0.222533, 0.000907, 
0, 0, 0, 0.203064, 0.000585, 
0.148402, 0, 0, 0.207117, 0.00068, 
0, 0, 0, 0.204769, 0.00055, 
0, 0, 0, 0.20789, 0.000514, 
0, 0, 0, 0.196861, 0.000527, 
0, 0, 0, 0.216482, 0.000943, 
0.070446, 0, 0, 0.217352, 0.000593, 
0, 0, 0, 0.326581, 0.000925, 
0, 0, 0, 0.30511, 0.000792, 
0, 0, 0, 0.199168, 0.000652, 
0.02689, 0, 0, 0.229607, 0.000806, 
0, 0, 0, 0.315081, 0.000857, 
0, 0, 0, 0.300975, 0.000979, 
0, 0, 0, 0.297112, 0.000991, 
0, 0, 0, 0.301712, 0.001202, 
0, 0, 0, 0.295, 0.000968, 
0.113095, 0, 0, 0.204719, 0.000711, 
0, 0, 0, 0.197166, 0.000496, 
0, 0, 0, 0.202991, 0.000556, 
0, 0, 0, 0.23482, 0.000988, 
0.145054, 0, 0, 0.225338, 0.000819, 
0, 0, 0, 0.20694, 0.00057, 
0, 0, 0, 0.200123, 0.000569, 
0, 0, 0, 0.204099, 0.000695, 
0, 0, 0, 0.209155, 0.000624, 
0.023537, 0, 0, 0.218223, 0.000659, 
0, 0, 0, 0.203038, 0.000598, 
0, 0, 0, 0.195617, 0.000611, 
0, 0, 0, 0.199189, 0.000622, 
0, 0, 0, 0.335587, 0.001338, 
0.073557, 0, 0, 0.227308, 0.000764, 
0, 0, 0, 0.222794, 0.000939, 
0, 0, 0, 0.215145, 0.000623, 
0, 0, 0, 0.209703, 0.000582, 
0, 0, 0, 0.210742, 0.0006, 
0, 0, 0, 0.238529, 0.000743, 
0.109928, 0, 0, 0.209555, 0.000637, 
0, 0, 0, 0.212853, 0.000533, 
0, 0, 0, 0.349417, 0.001076, 
0, 0, 0, 0.274771, 0.000702, 
0.037298, 0, 0, 0.210092, 0.000715, 
0, 0, 0, 0.322184, 0.000983, 
0, 0, 0, 0.185998, 0.000394, 
0, 0, 0, 0.331205, 0.000959, 
0, 0, 0, 0.206691, 0.00074, 
0.054301, 0, 0, 0.328842, 0.001942, 
0, 0, 0, 0.194924, 0.00074, 
0, 0, 0, 0.305396, 0.000909, 
0, 0, 0, 0.32153, 0.000792, 
0.251712, 0, 0, 0.293819, 0.001215, 
0, 0, 0, 0.30402, 0.001302, 
0, 0, 0, 0.353268, 0.00101, 
0, 0, 0, 0.319915, 0.000961, 
0, 0, 0, 0.320168, 0.00091, 
0.082447, 0, 0, 0.217215, 0.000938, 
